id,date,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities
1599,3/29/10,Gatlinburg,14.56419,,35.6024,-83.426,"(35.602400000000003, -83.426000000000002)",Landslide,Mudslide,Small,Downpour,,,0
1601,3/30/10,Middletown,1.40994,,41.5663,-72.6667,"(41.566299999999998, -72.666700000000006)",Landslide,Landslide,Small,Rain,,,0
1602,3/30/10,Sound Beach,0.94386,,40.9647,-72.9684,"(40.964700000000001, -72.968400000000003)",Landslide,Mudslide,Small,Downpour,,,0
1603,3/30/10,Yonkers,3.28687,,40.904,-73.9141,"(40.904000000000003, -73.914100000000005)",Landslide,Mudslide,Small,Downpour,,,0
1604,3/30/10,Fort Madison,2.69877,,40.635,-91.284,"(40.634999999999998, -91.284000000000006)",Landslide,Mudslide,Medium,Rain,,,0
1605,3/30/10,Fort Madison,2.69877,,40.635,-91.284,"(40.634999999999998, -91.284000000000006)",Landslide,Landslide,Small,Rain,,,0
1606,3/30/10,Winslow,0.76489,,44.5407,-69.625,"(44.540700000000001, -69.625)",Landslide,Landslide,Small,Downpour,,,0
1608,3/31/10,Greenville,0.29408,,42.7679,-71.8158,"(42.767899999999997, -71.815799999999996)",Landslide,Landslide,Medium,Rain,,,0
1612,04/01/2010,Acomayo,3.4989,,-9.7996,-76.1038,"(-9.7995999999999999, -76.103800000000007)",Landslide,Lahar,Large,Downpour,,,12
1614,04/02/2010,Ambo,0.55865,,-10.1258,-76.2043,"(-10.1258, -76.204300000000003)",Landslide,Landslide,Large,Downpour,,,28
1739,04/07/2010,Burlington,3.37828,Above road,40.7799,-91.0962,"(40.779899999999998, -91.096199999999996)",Landslide,Mudslide,Small,Rain,,,0
1743,04/12/2010,Berekua,2.08997,,15.2454,-61.3017,"(15.2454, -61.301699999999997)",Landslide,Landslide,Medium,Downpour,,,0
1744,04/12/2010,Pont Cassé,3.78784,,15.4004,-61.344,"(15.400399999999999, -61.344000000000001)",Landslide,Landslide,Medium,Downpour,,,0
1745,04/12/2010,Berekua,4.08252,,15.2458,-61.2809,"(15.245799999999999, -61.280900000000003)",Landslide,Landslide,Small,Downpour,,,0
1746,04/12/2010,Berekua,5.61495,,15.2556,-61.2697,"(15.255599999999999, -61.2697)",Landslide,Landslide,Small,Downpour,,,0
1747,04/12/2010,La Plaine,5.116,,15.2892,-61.2642,"(15.289199999999999, -61.264200000000002)",Landslide,Landslide,Small,Downpour,,,0
1749,4/14/10,Desamparados,6.88715,Above road,9.9323,-84.4453,"(9.9322999999999997, -84.445300000000003)",Landslide,Landslide,Medium,Downpour,,,0
1751,4/14/10,Girardot,0.30587,,4.3013,-74.8055,"(4.3013000000000003, -74.805499999999995)",Landslide,Landslide,Medium,Downpour,,,2
1754,4/16/10,Pont Cassé,6.4593,,15.3211,-61.3124,"(15.321099999999999, -61.312399999999997)",Landslide,Landslide,Medium,Downpour,,,0
1760,4/18/10,Easington,4.53632,,17.9647,-76.5835,"(17.964700000000001, -76.583500000000001)",Landslide,Landslide,Medium,Downpour,,,0
